City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
590,Yenagoa,NG,74.52,overcast clouds,4.9247,6.2642,Aridolf Resort Wellness and Spa
595,Narnaul,IN,72.77,clear sky,28.0444,76.1083,Hotel Sun Plaza - Luxury Hotel
596,Marrakesh,MA,71.67,clear sky,31.6315,-8.0083,Les Jardins de La Koutoubia
598,Obala,CM,68.11,overcast clouds,4.1667,11.5333,Auberge Oke Double
600,Guerrero Negro,MX,68.9,clear sky,27.9769,-114.0611,"Casa Laguna, Bed & Breakfast"
601,Gizo,SB,84.51,light rain,-8.103,156.8419,Imagination Island
604,Epe,NG,76.6,broken clouds,6.5841,3.9834,MAGVILLE HOTEL
605,Pitimbu,BR,76.96,clear sky,-7.4706,-34.8086,Reserva do Abiaí
606,Berbera,SO,80.98,clear sky,10.4396,45.0143,IBCO REAL ESTATE PROPERTY
608,Thinadhoo,MV,82.29,scattered clouds,0.5333,72.9333, 
609,Bogale,MM,79.7,overcast clouds,16.2833,95.4,Ngwe Taung
610,Miri,MY,83.35,overcast clouds,4.4148,114.0089,"Mega Hotel, Miri"
612,Antalaha,MG,68.56,clear sky,-14.9003,50.2788,Hotel Vitasoa
614,Kuliyapitiya,LK,76.68,broken clouds,7.4688,80.0401,Rest House
619,Victoria Point,AU,90.25,scattered clouds,-27.5833,153.3,Bay Retreat Motel
621,Buchanan,LR,77.49,light rain,5.8808,-10.0467,Kamaneahn Hotel Inc
624,Conceicao Do Araguaia,BR,72.88,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
625,Kudahuvadhoo,MV,81.75,scattered clouds,2.6708,72.8944,Niyama Private Islands Maldives
626,Tartus,SY,74.73,few clouds,34.889,35.8866,Mahmoud’s Home
630,Acapulco,MX,80.46,light rain,16.8634,-99.8901,HS Hotsson Smart Acapulco
633,Basco,PH,78.31,overcast clouds,20.4487,121.9702,Nathaniel's Lodge
637,Swedru,GH,74.08,overcast clouds,5.5371,-0.6998,Emma-Ike Guesthouse
639,Hervey Bay,AU,86.02,clear sky,-25.2986,152.8535,Shelly Bay Resort
640,Port Hedland,AU,91.45,clear sky,-20.3167,118.5667,The Esplanade Hotel
641,Sao Jose Da Coroa Grande,BR,76.46,overcast clouds,-8.8978,-35.1478,Crôa Mares Hotel
642,La Orilla,MX,79.29,scattered clouds,17.9833,-102.2333,Baymont by Wyndham Lazaro Cardenas
644,Marsassoum,SN,76.51,broken clouds,12.8275,-15.9806,Djinoubor keur Samba ba
649,Paramirim,BR,73.17,broken clouds,-13.4425,-42.2389,Pousada Rio Pequeno
650,Puerto Escondido,MX,79.97,light rain,15.85,-97.0667,Aldea del Bazar Hotel and Spa
